약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
AAAI,최우수,4,O,O,최우수,1.00,AAAI Conference on Artificial Intelligence (AAAI),conf/aaai
AAMAS,우수,2,,,,0.20,International Joint Conference on Autonomous Agents & Multiagent Systems (AAMAS),conf/atal
ACCV,우수,1,,,우수,0.25,Asian Conference on Computer Vision (ACCV),conf/accv
ACL,최우수,4,O,O,최우수,1.00,Annual Meeting of the Association for Computational Linguistics (ACL),conf/acl
ACL Findings,,,,,우수,0.10,Findings of ACL,series/findacl
ACSAC,우수,2,,,우수,0.30,Annual Computer Security Applications Conference (ACSAC),conf/acsac
AIED,,,,,우수,0.10,International Conference on Artificial Intelligence in Education (AIED),conf/aied
AISTATS,우수,1,,,우수,0.25,International Conference on Artificial Intelligence and Statistics (AISTATS),conf/aistats
ANCS,우수,1,,,우수,0.25,Symposium on Architectures for Networking and Communications Systems (ANCS),conf/ancs
ASE,최우수,3,O,O,최우수,0.95,International Conference on Automated Software Engineering (ASE),conf/kbse
ASIACCS,우수,1,,,우수,0.25,ACM Asia Conference on Computer and Communications Security (AsiaCCS),conf/asiaccs
ASIACRYPT,우수,2,,,,0.20,International Conference on the Theory and Application of Cryptology and Information Security (ASIACRYPT),conf/asiacrypt
ASPLOS,최우수,4,O,O,최우수,1.00,International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),conf/asplos
ASRU,,,,,우수,0.10,Automatic Speech Recognition & Understanding (ASRU),conf/asru
AVSS,,1,,,,0.05,IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),conf/avss
BCB,우수,,,,,0.10,"ACM International Conference on Bioinformatics, Computational Biology and Biomedicine (BCB)",conf/bcb
BIBM,우수,1,,,,0.15,IEEE International Conference on Bioinformatics and Biomedicine (BIBM),conf/bibm
BIGDATA,우수,,,,우수,0.20,IEEE International Conference on Big Data (BigData),conf/bigdataconf
Blockchain,,,,,우수,0.10,IEEE International Conference on Blockchain (Blockchain),conf/blockchain2
BMVC,우수,,O,,우수,0.40,British Machine Vision Conference (BMVC),conf/bmvc
